ticker,index_ticker,comment
600787.SS,000001.SS,"CMST Development Co.,Ltd."
600968.SS,000001.SS,CNOOC Energy Technology & Services Limited
600737.SS,000001.SS,"COFCO TUNHE SUGAR CO.,LTD."
603908.SS,000001.SS,"COMEFLY OUTDOOR CO.,LTD"
601866.SS,000001.SS,"COSCO SHIPPING Development Co.,Ltd."
600026.SS,000001.SS,"COSCO SHIPPING Energy Transportation Co., Ltd."
601919.SS,000001.SS,"COSCO SHIPPING Holdings Co., Ltd."
600428.SS,000001.SS,"COSCO SHIPPING Specialized Carriers Co., Ltd."
600890.SS,000001.SS,Cred Holding Co Ltd
601766.SS,000001.SS,CRRC Corporation Limited
603903.SS,000001.SS,"CSD Water Service Co., Ltd."
600685.SS,000001.SS,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED
600072.SS,000001.SS,"CSSC Science & Technology Co., Ltd"
603128.SS,000001.SS,CTS International Logistics Corporation Limited
600715.SS,000001.SS,"Cultural Investment Holdings Co., Ltd."
600288.SS,000001.SS,Daheng New Epoch Technology Inc
600257.SS,000001.SS,"Dahu Aquaculture Co.,Ltd."
900951.SS,000001.SS,Dahua Group Dalian Chemical Industry Co Ltd
603963.SS,000001.SS,"Dali Pharmaceutical Co., Ltd"
603318.SS,000001.SS,"Dalian Energas Gas-System Co., Ltd."
601880.SS,000001.SS,Dalian Port(PDA) Co Ltd
600593.SS,000001.SS,"Dalian Sunasia Tourism Holding Co.,Ltd"
600719.SS,000001.SS,"Dalian Thermal Power Co.,Ltd."
603360.SS,000001.SS,"DalianBio-ChemCo.,Ltd."
600844.SS,000001.SS,"Danhua Chemical Technology Co.,Ltd."
900921.SS,000001.SS,"Danhua Chemical Technology Co.,Ltd."
603955.SS,000001.SS,"DAQIAN ECOLOGY & LANDSCAPE CO., LTD."
601006.SS,000001.SS,Daqin Railway Co Ltd
600694.SS,000001.SS,Dashang Co Ltd
600892.SS,000001.SS,"Dasheng Times Cultural Investment Co.,Ltd."
603233.SS,000001.SS,"DaShenLin Pharmaceutical Group Co., Ltd."
600744.SS,000001.SS,"Datang Huayin Electric Power Co.,Ltd"
601991.SS,000001.SS,"Datang International Power Generation Co.,Ltd."
600198.SS,000001.SS,Datang Telecom Technology Co Ltd
601001.SS,000001.SS,"Datong Coal Industry Co., Ltd."
603019.SS,000001.SS,"Dawning Information Industry Co., Ltd."
600611.SS,000001.SS,Dazhong Transportation (Group) Co Ltd
900903.SS,000001.SS,Dazhong Transportation (Group) Co Ltd
603587.SS,000001.SS,"DAZZLE FASHION CO., LTD."
