ticker,index_ticker,comment
FFIV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FIS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FISV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FITB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FLIR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FLS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FLT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FMC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FOX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FOXA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FRC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FRT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FTI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FTNT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
FTV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GILD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GIS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GLW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GOOG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GOOGL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GPC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GPN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GPS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GRMN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
GWW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HAL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HAS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HBAN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HBI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HCA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HD,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HES,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HFC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HIG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HII,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HLT,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HOG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HOLX,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HON,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HPE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HPQ,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HRB,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HRL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HSIC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HST,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HSY,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
HUM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
IBM,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ICE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
