model-1601030665,1601030667.108,0.59,0.2409,0.58,0.2414
model-1601030665,1601030667.129,0.58,0.2433,0.56,0.2414
model-1601030665,1601030667.149,0.52,0.2474,0.59,0.2398
model-1601030665,1601030667.169,0.63,0.2394,0.59,0.238
model-1601030665,1601030667.19,0.6,0.24,0.58,0.2367
model-1601030665,1601030667.212,0.54,0.2413,0.61,0.2361
model-1601030665,1601030667.233,0.6,0.2411,0.63,0.2361
model-1601030665,1601030667.253,0.65,0.2346,0.59,0.2361
model-1601030665,1601030667.273,0.56,0.2406,0.58,0.2385
model-1601030665,1601030667.294,0.55,0.2467,0.58,0.2379
model-1601030665,1601030667.316,0.59,0.2434,0.58,0.2406
model-1601030665,1601030667.337,0.63,0.2214,0.57,0.2424
model-1601030665,1601030667.357,0.6,0.2362,0.59,0.2347
model-1601030665,1601030667.378,0.49,0.262,0.59,0.2293
model-1601030665,1601030667.398,0.57,0.2474,0.6,0.2287
model-1601030665,1601030667.42,0.59,0.2328,0.62,0.2281
model-1601030665,1601030667.441,0.59,0.2423,0.61,0.2283
model-1601030665,1601030667.461,0.67,0.2286,0.64,0.2295
model-1601030665,1601030667.481,0.57,0.245,0.59,0.2345
model-1601030665,1601030667.502,0.58,0.237,0.56,0.2429
model-1601030665,1601030667.524,0.65,0.2194,0.56,0.248
model-1601030665,1601030667.545,0.58,0.2374,0.56,0.2484
model-1601030665,1601030667.565,0.55,0.2423,0.57,0.2395
model-1601030665,1601030667.586,0.48,0.2596,0.65,0.2278
model-1601030665,1601030667.606,0.59,0.2333,0.54,0.2297
model-1601030665,1601030667.628,0.49,0.2457,0.53,0.236
model-1601030665,1601030667.648,0.49,0.2763,0.54,0.234
model-1601030665,1601030667.669,0.46,0.2665,0.57,0.2294
model-1601030665,1601030667.689,0.58,0.2306,0.64,0.2294
model-1601030665,1601030667.709,0.56,0.2344,0.62,0.2324
model-1601030665,1601030667.731,0.64,0.2377,0.58,0.2354
model-1601030665,1601030667.752,0.62,0.2323,0.6,0.2376
model-1601030665,1601030667.772,0.56,0.2417,0.6,0.2394
model-1601030665,1601030667.792,0.55,0.247,0.59,0.2402
model-1601030665,1601030667.813,0.67,0.2357,0.6,0.2396
model-1601030665,1601030667.835,0.52,0.2496,0.59,0.2382
model-1601030665,1601030667.856,0.7,0.2321,0.58,0.2365
model-1601030665,1601030667.876,0.53,0.2464,0.6,0.2347
model-1601030665,1601030667.897,0.62,0.2393,0.61,0.2331
model-1601030665,1601030667.917,0.57,0.241,0.63,0.2323
model-1601030665,1601030667.939,0.61,0.2389,0.6,0.2317
model-1601030665,1601030667.96,0.62,0.239,0.62,0.2311
model-1601030665,1601030667.98,0.57,0.2381,0.59,0.2307
model-1601030665,1601030668.001,0.5,0.2447,0.59,0.2301
model-1601030665,1601030668.021,0.58,0.2415,0.61,0.2289
model-1601030665,1601030668.043,0.59,0.2358,0.64,0.2285
model-1601030665,1601030668.064,0.55,0.2474,0.63,0.23
model-1601030665,1601030668.084,0.64,0.2276,0.6,0.2319
model-1601030665,1601030668.104,0.59,0.238,0.58,0.2329
model-1601030665,1601030668.125,0.62,0.2325,0.58,0.2337
model-1601030665,1601030668.147,0.66,0.225,0.58,0.2343
model-1601030665,1601030668.168,0.57,0.2421,0.58,0.2344
model-1601030665,1601030668.188,0.61,0.236,0.58,0.2332
model-1601030665,1601030668.208,0.52,0.2524,0.62,0.2265
model-1601030665,1601030668.229,0.65,0.2248,0.63,0.2223
model-1601030665,1601030668.251,0.59,0.238,0.63,0.2215
